Participant ID,Assumption ID,Summary
62 ,A10,"The PDS keeps adequate logs about the users actions. Therefore, users can not deny having made some actions, such as reading a document"
62 ,A11,"DS1,DS2,DS3 are only accessible by P1, P2, P3. Thus, P1-3 cant be spoofed to the datastores, e.g. P3 runs on the same physical node as DS2 and DS3, so they are not coneected over Internet. Tampering & ID are therefore impossible"
62 ,A12,"All encrypted communication can be read by the receiver only, an assymetric encryption scheme is used"
62 ,A13,"All datastores keep logs of every action that is undertaken. Once logged, an  entry in the log is immutable"
62 ,A7,"E1,E2,E3 can not be spoofed. Due to the assumption A2, an attacker can not send meaningful messages to the system in their name, nor can he interpret messages obtained by name squatting"
62 ,A8,"E1,E2 and E3 will deny neither the reception of a document for delivery nor the delivery of a document, since this would cost them money (assumption: they are paid per document that is delivered)"
62 ,A9,"Due to the encryption of dataflows between E1 E2 and E3 and P2, P2 is immune to tampering by passing malicious parameters. Attackers can not construct messages to P2 since they do not have the encryption key (in contrast to the communication between E4 and P3)"
63 ,A6,The data flow between P2 and E3 are not encrypted
63 ,A7,"P1, P2, P3 can each be deployed on a different node"
63 ,A8,DS1 and DS2 are replicated on multiple nodes
63 ,A9,"The PDS and PDS user data (DS3) are on the same node and their data flows are encrypted (DF21,22,23)"
64 ,A11,eDocs admins are only allowed to log in in house
64 ,A12,PDS users are unable to request any information of other users
64 ,A13,"The delivery manager and scheduler and the PDS and the PDS process only communicate through local network, preventing internal data flow attacks"
64 ,A15,External delivery services can not request sending a specific document
64 ,A6,We use well-established printing service companies and send docs automatically. There there is no risk of spoofing and repudiation
64 ,A7,"Zoomit is wellknown service and all communication is automated. We assume, since zoomit handles bank info, that zoomit is protected against attackers getting access to docs"
64 ,A8,"Our emails are sent inhouse and therefore the email provider is not vulnerable to spoofing (DF4-5,E3)"
64 ,A9,PDS users are authenticated by means of credentials
65 ,A10,"All input is verified, queries in databases use precautions to counter against SQL injections"
65 ,A11,The system provides interfaces/facades that limit access to it. All communication goes through them
65 ,A6,A PDS user can only read documents from the PDS docs (DS2) so it cannot be tampered
65 ,A7,"Whenever PDS user registers, the mail address is verified so that only the actual owner of the email address can use it and obtain all docs linked to it"
65 ,A8,"The print service and zoomit are properly authenticated. data that is sent, is signed so the sender can be verified"
65 ,A9,The delivery scheduler and generated docs archive can only be accessed by internal processes
66 ,A10,Each generated document is delivered at least once
66 ,A11,The delivery manager will only retrieve documents from DS1 when told to by the scheduler
66 ,A12,The delivery manager will only deliver messages when told to by the scheduler
66 ,A13,When a user registers he receives a randomly generated password that can be changed if wanted
66 ,A14,Altering a document has no effect on the actual payment depending on the document
66 ,A15,Zoomit and emailprovider can not request documents
66 ,A16,"The generated docs archive will never alter documents nor ids, only status info"
66 ,A17,Status info updates can only follow this order: (to prevent resending and hiding docs): received data->generating->generated->sent->delivered->read
66 ,A18,The delivery manager keeps no information of a customer organisation or client
66 ,A19,It's not possible for a PDS user to delete a doc
66 ,A20,It's not pssoble to tamper with internal connections or components without access from an outside component (e.g. DF14 cannot be listened in on)
66 ,A6,PDS user is authenticated by means of credentials
66 ,A7,It's not possible to spoof someone's real life address (eg steal his postal mail)
66 ,A8,Resending a document never implies it is billed multiple times
66 ,A9,It's not posible to alter a PDF
67 ,A10,The sensitive information in PDS user data (DS3) is hashed in order to keep it secure
67 ,A6,"The print service, zoomit and the email provider have no gain to repudiate. Therefore, we can assume the repudiation threat can be ignored for them."
67 ,A7,All external entities (E1-E4) are authenticated by means of credentials. The implementation of the authentication is secure
67 ,A7,All external entities (E1-E4) are authenticated by means of credentials. The implementation of the authentication is secure
67 ,A8,"The print service, zoomit and the email provider are expected to be trustworthy. So they are expected to be able to keep their credentials secret."
67 ,A9,Each of the invoices is signed with a key and cannot be tampered with without removing the signature
68 ,A10,There is no identification by IP address to the send services.
68 ,A11,There is no limit to the amount of shipments on the send services
68 ,A12,A document with tracking for an unregistred user has a public link
68 ,A6,All customer organization employees can be trusted on the fact that they dont send illegal/spam mailing
68 ,A7,The E-mail provider is a secure environment. Only authenticationusers have access to send data
68 ,A9,A document can be accessed unlimited times
69 ,A10,PDS docs and PDS user data contain no logs
69 ,A6,Every entity is identified with credentials
69 ,A7,The PDS can be accessed by internet
69 ,A8,Edocs has an SLA with every delivery service
69 ,A9,There is not worthwhile action a PDS user wants to repudiate
70 ,A10,"its not possible to information disclosure from DF1,2,3,6,7,8,9,10 because of A2"
70 ,A11,Its not possible to disclose information from P1 because it's not connected to an external entity
70 ,A12,Its not possible to tamper or disclose information from the DFs 11-13 because it's traffic between P1 and DS1
70 ,A13,The printer service cannot be spoofed because no incoming request/dataflow is sent by this service\
70 ,A6,the PDS user logs in by means of credentials
70 ,A7,"Data flows 1,2,3,6,7,8,9,10 are not considered as a ""tamperng threat"" because of A2"
70 ,A8,"It's not possible to spoof P1 because it only receives requests via DS1, not from external entitiy"
70 ,A9,Its not possible to tamper a process because of A3
71 ,A10,"For zoomit delivery, a credit card number is provided"
71 ,A11,A credit card number is saved in the PDS user data
71 ,A6,the PDS user logs in by means of credentials
71 ,A7,Payslip/invoice does not contain very sensitive information
71 ,A8,There is no reason for attacker to read delivery notification (DF5)
71 ,A9,DF5 is only used to notify the system of delivery of a document or of the failure of a delivery
71 ,A9,DF5 is only used to notify system of doc delivery
72 ,A10,"Delivery manager only provides interface for acknowledging received, reporting errors (no queries)"
72 ,A11,There is no need for logging in for services in the delivery manager. All info is added by eDocs operators
72 ,A12,dataflows inside trust boundary are considered secure
72 ,A13,databases are secured against attacks (like SQL injections)
72 ,A6,"eDocs operators are trustworthy, so no untrustworthy privacy service, zoomit, or email provider can be added"
72 ,A9,Proper non-repudiation mechanism for users and services is provided so they cannot repudiate
73 ,A10,Data stores are type checked and do not allow bad data
73 ,A11,Logs are encrypted and hash of logs is stored elsewhere
73 ,A6,the PDS user logs in by means of credentials
73 ,A7,Email provider has deal about security with our company
73 ,A8,dataflows between processes are encrypted and have confidentiality and integrity
73 ,A9,Access to data stores is authenticated and encrypted
74 ,A6,the PDS user logs in by means of credentials
74 ,A7,DF3 and DF5 can only be used for delivery notification
74 ,A8,DF4 and DF5 are not encrypted
74 ,A9,"eDocs has direct channel to print service, zoomit and email provider and no entity can pose as one of them"
75 ,A10,"Through DF3, any registration/configuration with zoomit is setup as well"
75 ,A11,Zoomit is not prone to security leaks
75 ,A12,The Email provider is not prone to security leaks
75 ,A12,The Emailprovider is not prone to security leaks
75 ,A6,The PDS user is authenticated by means of credentials
75 ,A7,The PDS user makes use of an authentication UI
75 ,A8,The PDS user can reset credentials though email
75 ,A9,Any receipt tracking of documents is tracked server side and thus is reliable (and is logged)
76 ,A10,"Processes P1, P2, P3 write right logs and admin access"
76 ,A11,Login credentials are encrypted using MD5 encryption
76 ,A12,Documents are password protected
76 ,A13,The document archive (DS2) contains correctly generated documents
76 ,A6,The PDS users are authenticated by means of credentials
76 ,A7,The services like Zoomit and Email providers are authenticated by public key
76 ,A8,All flow between delivery manager and E-mail provider are not encrypted
76 ,A9,Logs are only stored in DS3
77 ,A10,"No data can be inserted in DS2, because that functionality is only internally available"
77 ,A6,All entities will explicitly acknowledge receival of a message
77 ,A7,"After individual authentication, individual requests are not checked for validity"
77 ,A8,SQL injection protection is not in place
77 ,A9,"Communication within the system can not be altered or leaked, cf also A1,A3"
78 ,A10,"All delivery channels (E1, E2, E3) are sufficiently protected against internal attacks"
78 ,A10,"All delivery channels (E1,E2,E3) are sufficiently protected against internal attacks"
78 ,A11,E1 is a respected company and has nothing to win by repudiating document deliveries/receivals. It has a reputation to hold high
78 ,A12,Every sending component only discloses as much information as is necessary for the receiving component to do its job properly.
78 ,A13,A registered recipient needs to log in before accessing the document to which he/she has received a link in a notification mail
78 ,A7,E2 and E3 send a confirmaition to P2 upon receival
78 ,A8,E4 sends a confirmation to P3 upon receival
78 ,A9,DF12 only contains the necessary info for P1 to function properly. This information is not distributed any further along the channel if it is not necessary
79 ,A6,"The communication between delivery scheduler , P1 and generated docs archive DS1 is considered to (be) secured since it are internal communcation flows of the system. Thus the dataflows: P1->DS1 and DS1-> P1 are considered to be safew"
79 ,A7,"The flows P1->P2, P2->DS1, P2->P3, P2->P3 are considered secure since it are internal comminication flows of edocs entities"
79 ,A8,"The flows P3->P2, P3->P2, P3->DS2,DS2->P3 are considered secure since it are internal comminication flows of edocs entities"
79 ,A9,"The flows P3->DS2,P3->DS2,DS3->P3 are considered secure since it are internal comminication flows of edocs entities"
80 ,A6,Passwords cant be changed by other people than the user
80 ,A7,The PDS is sufficiently secure (so) that gaining full access is impossible without the right credentials
80 ,A8,Print and .. logs are correct and secure/Delivery schedler and manager are secure in  way that the system can be sure of what was sent
81 ,A10,It has no use to spoof P1 and P2 because they can get access to important information.The only mehtods that they can do is send a document and accept delivery of a document
81 ,A11,The contact information is given in the meta data of the document. The A2 says that it wont be changed. Therefore the documents will be delivered at the right address
81 ,A12,"Because everyone needs to log in before something can be added/changed to the system, no one can without permission change something in the system."
81 ,A13,A mail is sent to the mail address which is given when creating an account. The mail eneds to be received and accepted before the account is activated
81 ,A14,"Before something can be retrieved, someone needs to log in and have the permission to retrieve it"
81 ,A6,"Print service, zoomit and mail provider are secure enough so that they cant be spoofed (they use secure keys)"
81 ,A7,PDS users log in using credentials
81 ,A9,"WHen a document is retrieved from the PDS, this retrieval is documented and saved. The system cant use repudiation (sic)"
82 ,A10,"Good access control in DS1-3; so no info is leaked and tampered requests are ignored. Tampered request= user asks for doc1, tampered req asks for doc 2(of another user)"
82 ,A11,PDS login happens through an email address and a password
82 ,A11,there are multiple instances of P2-P3 and can be spoofed. P1 and DS1-3 can not be spoofed
82 ,A12,Tampering with DF3 and DF5 is no problem. It could be that documents would be resent but that is very unlikely and irrelevant
82 ,A13,DF14 seems irrelevant because P2 can only read from DS1 but no response is possible. Thus DF14 is ignored.
82 ,A14,DF11 and DF12 are completely trusted since P1 and DS1 connot be directly attacked
82 ,A6,DF4 and DF5 are encrypted and are considered to have channel confidentiality and integrity
82 ,A7,"Repudiation for E4 (and P3) is no threat. We dont care if he reads his own documents or not. Since no write are issued, this is OKay."
82 ,A8,The threats for P1 are irrelevant since the implementaiton is good and no attackers can reach it from outside. (See A1 and A3). It can not be reverse-engineered
82 ,A9,Credentials are hashed and salt is added so a spoofing PDS can not dump DS3
83 ,A10,The PDS can access all documents in PDS docs and all the user information
83 ,A11,The delivery scheduler and delivery manager are on the same machine. The PDS and the data stores are each on another machine
83 ,A6,PDS user can only view its own documents
83 ,A7,Only documents and their metadata are sent to the delivery channels (e.g. not the SLAs)
83 ,A8,Receiving a document twice doesnt mean you have to pay twice
83 ,A9,The delivery scheduler can only receive new documents that didn already pass through him
84 ,A10,spoofing the print service is no threat because there is no data flow from the print service back to the delivery manager
84 ,A6,The print service/zoomit/mail provider are trustworthy partners
84 ,A7,Zoomit and the mail provider have secure policy for storing credentials
84 ,A8,Data flows within the trust boundary cannot be attacked (DF11-DF23)
84 ,A9,DF4 and DF5 are not encrypted and thus have no channel confidentiality/integrity
85 ,A10,A proper framework is used while generating the documents. Hence the threat level is very negligible
85 ,A11,A cross check is done after every implementation so that memory level manipulation is ensured (SIC)
85 ,A12,The generated docs archive maintains integrity
85 ,A13,The delivery manager will make sure that the delivery channels are trustworthy
85 ,A14,"The data flows between PDS (P3) and E4 (PDS user) is encrypted (DF6,DF7,DF9, DF10) so that tampering of data can be reduced"
85 ,A15,The data stored in PDS are restricted with permission credentials where  only trusted people can access at
85 ,A16,All the dataflows within turst boundary are all encrypted
85 ,A17,"The development, testing, maintenance, implementating, everything is secured."
85 ,A18,While giving login credentials to users or while users setting the login credentials should allow all instruction given so that the chances of threats are less
85 ,A19,Every entity should maintain the crosscheck in each and every step
85 ,A20,Entities should maintain integrity
85 ,A21,Confidential information should not be stored with someone who is not authorized
85 ,A22,Professional ethics should be maintained by every one and should misutilize properties as personal
85 ,A6,The generated documents are well-maintained so as to ensure security
85 ,A7,The stored documents in generated docs archive are given with strong permission credentials so that authorized users can assess
85 ,A8,The data flow between P2 and E3 are encrypted and integrity is maintained in a well amnner
85 ,A9,The edocs system is divided into small parts so that it is easy to maintain the security of each and every stem (?) systems
86 ,A10,The PDS uses sessions for logged-in users
86 ,A11,Sending Emails via the E-mail provider is secure
86 ,A6,The PDS user is authenticated with credentials
86 ,A7,"The print service, zoomit and mail providers are trustworthy and will not disclose documents"
86 ,A8,"They (The print service, zoomit and mail providers) will never deny being sent a document"
86 ,A9,All communication within the trust boundary is safe
87 ,A6,The employees are trained in password managment. Therefore they all have an unguessable strong password which is secretly stored in their mind
87 ,A7,Edocs database are only accessible from within the system
87 ,A8,"When a user account is made, the email address hsould be confirmed"
88 ,A7,A PDS user is authenticated by means of credentials
88 ,A8,"All the datastores are protected (DS1,DS2, DS3)"
88 ,A9,The PDS (P3) only contains documents of a specific user
89 ,A10,EDocs pays the mail provider per mail they send
89 ,A12,"Seen A1 and A2, the data from and to the PDS user is not vulnerable for information disclosure"
89 ,A13,DF5 is not vulnerable to information disclosure; it does not contain info useful to an outsider
89 ,A14,PDS users can remove documents from their overview
89 ,A15,"Attacker could mail E1,E2, E4 with an email that ressembles edocs email saying it has lost its credentials. We assume that E1,E2,E3 are good enough programmed to no send credentials to a resembling address"
89 ,A17,"If a user forgets his password to the PDS, his password is emailed to him"
89 ,A18,The deliverers have no way of distinguishing messages that are already sent and new messages
89 ,A6,"Edocs logins by credentials to zoomit,email provider, print service, and sends them their documents to be sent"
89 ,A7,"The print service, zoomit, email provider only send documents. We assume that they want to have high profits so they wont say that they havent sent a document and miss a billing opportunity"
89 ,A8,A PDS user is authenticated by means of credentials
89 ,A9,DF4 and DF5 do not have any encryption
90 ,A10,We assume there are no logs held for the PDS userś interaction with the PDS
90 ,A11,We assume that either DF9 or DF10 is responsible for receipt notification
90 ,A12,"We assume for DF12, DF13, DF15,DF19 and DF20 that the document itself is sent, not a document id that is later used for document retrieval"
90 ,A13,"We assume for DF12, DF13, DF15,DF19 and DF20 that the document is not used for "
90 ,A14,"We assume only requests are sent in DF11, no documents"
90 ,A15,"For dataflow DF14, we assume only limited request can be made (status) so impact and likelihood are very low"
90 ,A16,"We assume for DF16, only minor data can be sent"
90 ,A17,"We assume tthat the DS2, DS3 and P3 are thightly coupled so the likelihood of breaking in the DB is almost zero"
90 ,A18,"We assume the internal working of P1,P2, and P3 are complex enough they cant be spoofed without recognition"
90 ,A6,The PDS user has received credentials at registration and uses them for authentication
90 ,A7,"For E1,E2,E3 we assume there is a good SLA and consider them services that are trustworthy"
90 ,A8,We assume that for DF4 and DF5 that the communicaion occurs with a simple SMTP servier that is not secure and easily hacked
90 ,A9,"We assume that for DF5, the email provider only sends deliverer notifications and receipt tracking info"
91 ,A10,The print service has taken security measures to prevent the takeover of its system
91 ,A11,Spoofing an email provider only results in being able to park documents as sent. This is no useful functionality for an attacker
91 ,A12,A PDS user is authenticated by means of credentials
91 ,A13,The delivery scheduler is not connected durectly to systems outside of eDocs 
91 ,A14,"The generated documents are valid info for the delivery scheduler, no input validation is necessary (P1)"
91 ,A15,The delivery scheduler does not deny having sent or received documents
91 ,A16,The delivery scheduler can only communicate with parts of the eDocs system. No design-level information disclosure is possible
91 ,A17,"No tampering is possible with DF1 when using strong encryption (also for DF2, and DF3)"
91 ,A18,Communication goes over the public Internet
91 ,A19,Email traffic is not encrypted
91 ,A20,Email traffic is sent over the public internet
91 ,A6,"The spoofing of a print service (E1) is not applicable, since the system knows the correct delivery on only sends info to it"
91 ,A7,The print service has seigned a legally binding SLA specifiying it will print and send documents
91 ,A8,Zoomit has signed a legally binding SLA specifying it will deliver the documents it receives
91 ,A9,Zoomit has taken security measures to prevent the takeover of its system
92 ,A6,"DS3 passwords are not stored in plain text, with hash and salt -> even when attackers get access no immediate harm is done"
92 ,A7,"When entities deny they received the data that was sent to them, it is sent again"
92 ,A8,Data sent between PDS and PDS User data is encrypted so that this very sensitive information cannot be read in data flow
94 ,A7,Queries to the PDS datastore are not authenticated
